Model,RMSE,MAE,R2
Linear_Regression,4533.073232405522,3031.45830718158,0.9439398851203947
Random_Forest,2808.443719617572,1285.0895431742854,0.9784820961139029
Gradient_Boosting,3169.6509627694118,1280.5859231541754,0.9725911133417214
Neural_Network,25211.09089270038,16424.955078125,-0.7340109348297119
