Year,Country,Inbound-Total Arrival(overnight stay)( In thousands),Inbound- Region(America)( In thousands),Inbound- Region(East Asia and the Pacific)( In thousands),Inbound- Region(Europe)( In thousands),Inbound Accommodation( In thousands),Inbound- Expenditure(Travel)(US$ Millions),Domestic- Accommodation( In thousands),Outbound- departure(overnight stay)( In thousands),Outbound Expenditure(Travel)(US$ Millions),Tourism Industry(Number of establishments),Tourism Industry(Number of rooms),Tourism Industry(Number of bed-places)
2011,Bulgaria,6328,88,51,8389,29558,3764,16166,3803,904,1862,110564,241665
2011,Croatia,9927,251,360,9303,87040,9348,10485,2880,881,857,74616,154733
2011,Denmark,7864,684,166,7174,61481,6366,82519,7846,9840,515,42351,85315
2011,Estonia,2823,32,29,1731,10738,1256,4354,1054,806,374,15132,31349
2011,Finland,4192,181,427,6641,15135,3847,41184,7274,4882,830,55892,122182
2011,France,80499,6339,3905,67123,262496,55154,595650,26155,44725,17000,614684,1229368
2011,Germany,28374,2914,2297,21861,171224,38928,737837,84692,86227,35766,952330,1813153
2011,Greece,16427,719,207,15430,128594,14813,44492,4941,3161,9648,397322,763668
2011,Hungary,10250,615,515,40148,26800,5929,25607,5335,2485,2155,70670,170439
2011,Iceland,566,95,16,355,6549,752,1987,341,754,343,9996,20956
2011,Italy,46119,4829,1646,68357,381933,43271,451653,27831,28749,33918,1096540,2253003
2011,Lithuania,1775,33,43,1683,6108,1321,4873,1526,859,379,12622,26114
2011,Luxembourg,874,38,56,771,4896,6899,371,1643,2628,260,8393,15388
2011,Netherlands,11300,1320,850,9016,64751,12897,105736,18560,20741,3194,104704,213932
2011,Norway,4963,164,27,4471,,5329,,8130,15823,1115,80150,178203
2011,Poland,13350,400,300,59950,27334,10554,96474,6300,8251,3369,123733,256869
2011,Portugal,7264,874,261,6044,67920,11384,46357,,4146,2019,128336,289107
2011,Spain,56177,2887,1176,51420,501819,67809,363269,13347,17387,19210,903441,1833726
2011,Sweden,11567,671,356,18249,28005,10209,93966,14651,13998,1998,112628,225343
2011,Turkey,34654,660,721,23501,195201,25054,81947,6282,4883,2740,313391,655827
2011,Ukraine,21415,176,53,22706,12185,4294,59084,19773,4461,3162,76567,153249
2012,Austria,24151,806,1105,21599,198291,18931,81049,10960,28078,13203,292165,594841
2012,Belgium,7560,505,367,6508,41685,12498,31282,9576,20166,3216,72379,176693
2012,Bulgaria,6541,94,56,8525,31814,3462,17644,3758,923,1936,118752,261159
2012,Croatia,10369,292,469,9591,91292,8683,9835,2680,926,878,75363,156792
2012,Denmark,8443,589,231,7250,62016,6135,82837,7843,9600,511,42808,86619
2012,Estonia,2957,40,36,1782,10943,1286,4543,1147,796,390,15088,31590
2012,Finland,4226,223,474,6923,15990,3877,41309,9055,4887,839,57009,123979
2012,France,81980,6133,4159,68554,266808,53327,589730,25317,39836,17171,619322,1238644
2012,Germany,30411,3155,2666,23121,184411,38054,757842,82729,83202,34696,948825,1817567
2012,Greece,15518,559,216,14661,120275,13210,36457,4681,2364,9670,400433,771271
2012,Hungary,10353,577,459,42503,29319,5057,26066,4881,1886,2094,70252,170592
2012,Iceland,673,114,24,426,7694,866,2094,358,792,329,10405,21884
2012,Italy,46360,4757,1657,68797,390902,40943,431798,27376,26239,33728,1093286,2250704
2012,Lithuania,1900,41,60,1775,6757,1317,5249,1708,925,397,13248,27453
2012,Luxembourg,950,39,75,822,5442,6825,478,1580,2344,252,8206,15345
2012,Netherlands,11680,1323,949,9296,66001,12295,105363,18628,19778,3155,105940,216824
2012,Norway,4538,245,378,3894,20457,5436,60334,9250,16603,1102,81923,186675
2012,Poland,14840,425,320,66545,30490,10801,99444,9300,8540,3522,129095,271069
2012,Portugal,7503,947,301,6159,70837,10997,43250,1361,3783,2028,131357,296321
2012,Spain,57464,3123,1345,52243,509985,62936,336718,12422,15395,19149,902624,1838958
2012,Sweden,12372,652,314,18922,27931,10104,94922,15548,13954,2003,113944,228387
2012,Turkey,35698,714,784,24167,221402,25345,89603,5803,4094,2814,328133,688053
2012,Ukraine,23013,178,50,24368,13690,4842,61177,21433,5104,3144,81157,162061
2013,Austria,24813,860,1227,22043,201988,20221,80790,10671,34110,13073,293702,601483
2013,Belgium,7684,517,398,6560,42048,13384,31876,10803,22157,3398,73886,181231
2013,Bulgaria,6898,102,78,8889,33933,3829,18812,3930,1113,2055,118107,262196
2013,Croatia,10948,381,545,10003,94186,9512,9703,2927,903,898,77157,161957
2013,Denmark,8557,599,249,7292,62197,6490,83309,6977,10072,511,43032,76458
2013,Estonia,3111,37,44,1850,11184,1626,4842,1166,1059,404,15321,31989
2013,Finland,2797,121,273,2218,16021,4041,40737,8562,5297,828,56566,123655
2013,France,83634,6225,4661,69388,283064,56451,584796,26062,42183,17370,638887,1277774
2013,Germany,31545,3192,2805,23899,192391,41283,763775,87459,91311,34116,950216,1827060
2013,Greece,17920,754,238,16822,149290,16084,46004,4594,2435,9677,401196,773445
2013,Hungary,10624,635,591,42357,30745,5362,27706,4912,1906,2064,71041,173156
2013,Iceland,807,144,30,499,9236,1084,2458,365,854,357,11248,23512
2013,Italy,47704,5405,1939,68415,401375,43825,416670,26305,26948,33316,1089770,2233823
2013,Lithuania,2012,40,61,1865,7341,1374,5552,1764,1069,414,13468,27793
2013,Luxembourg,945,39,60,840,5440,7155,648,1624,2519,244,7837,15012
2013,Netherlands,12783,1337,1040,10286,72922,13733,116114,18094,20698,3510,113813,244145
2013,Norway,4778,262,492,4000,20713,5627,59588,9280,18465,1201,84341,186338
2013,Poland,15800,425,355,71430,32383,11154,102087,10050,8605,3485,134417,274297
2013,Portugal,9177,1116,446,7480,77102,12149,42569,1490,3902,2008,132331,297962
2013,Spain,60675,3065,1531,55273,528895,68414,331841,11246,16433,19318,906289,1874896
2013,Sweden,10980,724,363,17531,28463,9166,97585,15917,14152,2045,117228,235752
2013,Turkey,37795,790,848,26157,220309,27997,97656,7526,4817,2917,348348,729747
2013,Ukraine,24671,106,29,12516,14055,5083,62833,23761,5763,3582,89441,178506
2014,Austria,25291,919,1381,22242,201942,20913,80989,10994,33284,12839,291753,598742
2014,Belgium,7887,566,437,6658,43427,13918,33392,10991,23820,3987,79089,211419
2014,Bulgaria,7311,113,92,9078,33367,3927,19721,4158,1202,2166,123274,271526
2014,Croatia,11623,435,823,10342,96750,9863,9651,2763,846,909,77312,161875
2014,Denmark,10267,672,278,8834,68305,7617,89822,8528,10443,523,43715,87870
2014,Estonia,3160,44,59,1872,11234,1864,5102,1426,1181,410,15624,32437
2014,Finland,2731,128,287,2112,15634,3657,39918,8731,5305,785,56688,123305
2014,France,83701,6620,5175,68323,277485,58422,592706,27919,48777,18358,653878,1307756
2014,Germany,32999,3272,3024,24915,201852,43277,785519,83008,93284,33512,949900,1832167
2014,Greece,22033,890,365,20651,168217,17820,46591,5802,2755,9745,404779,780721
2014,Hungary,12140,723,650,44582,31809,5864,30577,5587,2036,2123,71486,173914
2014,Iceland,997,191,39,597,11362,1396,2600,400,964,373,12137,25210
2014,Italy,48576,5618,1882,69146,406573,45562,416934,26862,28866,33290,1090300,2241239
2014,Lithuania,2063,48,82,1895,7713,1383,5942,1789,1059,421,13788,28459
2014,Luxembourg,1038,45,71,915,5924,7295,689,1815,2795,237,7778,14718
2014,Netherlands,13925,1431,1164,11195,79511,14684,119082,17928,21092,3561,117917,252115
2014,Norway,4855,326,489,4013,21689,5579,65310,9190,18539,1145,84810,185437
2014,Poland,16000,648,344,72661,33840,11614,110453,10300,8507,3646,142364,292521
2014,Portugal,10497,1282,593,8456,85688,13651,46028,1502,4151,2041,136761,308385
2014,Spain,64939,3132,1850,59035,545658,71656,348926,11783,17976,19207,904946,1862329
2014,Sweden,10522,314,281,4410,30597,9231,101887,,14505,2033,118614,238852
2014,Turkey,39811,846,1032,27263,240676,29552,96411,7982,5072,3061,374016,784469
2014,Ukraine,12712,138,35,12186,3697,1612,44397,22438,5061,2644,69052,135049
2015,Austria,26728,1020,1740,23051,208540,18292,82925,10628,29190,12625,291974,600342
2015,Belgium,8355,603,498,7018,45682,7865,38372,10835,13654,3830,75378,189838
2015,Bulgaria,7099,114,93,8978,32118,3139,20958,4632,1116,2180,124568,279100
2015,Croatia,12683,531,979,11149,103648,8022,10654,2578,755,938,78431,164675
2015,Denmark,10424,689,292,9023,70061,6685,92000,8991,8918,518,43853,87447
2015,Estonia,2961,56,70,1780,10833,1493,5454,1250,1026,414,15474,32620
2015,Finland,2622,135,349,1934,15142,2574,40765,8904,4796,777,56723,122855
2015,France,84452,7091,6198,67037,279286,58326,601253,26648,39521,18205,645595,1291190
2015,Germany,34970,3487,3556,25951,213302,36895,806459,83737,77468,33084,953889,1908880
2015,Greece,23599,1095,362,21985,177972,15665,47510,6291,2259,9757,406200,784315
2015,Hungary,14316,811,730,46772,33422,5320,32975,6382,1830,2185,72319,177182
2015,Iceland,1289,290,64,708,14604,1630,2315,450,963,397,13506,28037
2015,Italy,50732,6099,2040,71682,420453,39433,437842,27494,24425,33199,1091569,2250718
2015,Lithuania,2071,49,96,1880,7733,1153,6344,1860,951,418,13839,28585
2015,Luxembourg,1090,52,79,953,6202,5603,653,1702,2280,235,7635,14493
2015,Netherlands,15007,1508,1319,12050,85779,13171,120868,17535,18038,3525,118121,254589
2015,Norway,5361,332,654,4346,23856,4864,65278,8750,15298,1086,85063,184720
2015,Poland,16728,703,368,76579,35824,10283,122504,10900,7701,3723,146114,301555
2015,Portugal,11723,1372,698,9492,93337,12875,49137,1893,3695,2028,137359,312028
2015,Spain,68175,3638,1805,61667,568519,62449,369609,14407,17429,19352,910091,1879369
2015,Sweden,6482,336,334,4980,34298,8374,107841,,13123,1992,117707,236555
2015,Turkey,39478,936,1074,26411,237674,26616,111984,8751,5368,3237,393521,826255
2015,Ukraine,12428,178,45,13025,4314,1082,40856,23142,5101,2478,68114,132203
2016,Austria,28121,1013,1733,24427,216662,19244,86529,11534,30839,12366,291497,601945
2016,Belgium,7481,493,343,6400,40316,7648,38815,13372,14439,3953,76440,190515
2016,Bulgaria,8252,116,95,10260,38722,3637,23572,5392,1361,2158,123025,281869
2016,Croatia,13809,574,1042,12160,112342,9028,11039,1615,945,1011,79962,167380
2016,Denmark,10781,693,319,9360,72032,7494,93380,9651,9174,529,44819,89423
2016,Estonia,3131,50,82,1901,11501,1537,5927,1339,1162,413,15535,32404
2016,Finland,2789,149,429,1947,16045,2649,41667,9125,5191,772,56982,124333
2016,France,82682,8131,5641,64728,264032,55338,609794,26483,40436,18172,648871,1297742
2016,Germany,35555,3509,3489,26568,216473,37476,830733,90966,79923,32433,953110,1909656
2016,Greece,24799,1100,738,22898,183770,14727,50127,7235,2220,9730,407146,788553
2016,Hungary,15255,864,855,51137,35665,5674,35331,7091,2166,2202,73785,181407
2016,Iceland,1792,498,89,894,17946,2429,2669,536,1217,397,14026,30814
2016,Italy,52372,6052,2036,75584,431580,40381,446258,29067,24987,33166,1091061,2248225
2016,Lithuania,2296,54,107,2081,8388,1210,6674,1953,1012,420,13925,28665
2016,Luxembourg,1054,49,70,930,6135,5680,657,1588,2210,231,7645,16205
2016,Netherlands,15828,1646,1303,12742,91028,14264,124413,18152,17915,3585,121021,261164
2016,Norway,5960,369,786,4787,26386,5226,64108,8030,15069,1113,87912,188842
2016,Poland,17471,765,376,79225,40556,10847,135887,11300,7876,3965,157715,325776
2016,Portugal,13359,1626,825,10746,105505,14217,52613,1941,3934,2036,143164,325863
2016,Spain,75315,4574,1905,67047,623125,66982,386383,15405,18803,19278,912504,1889335
2016,Sweden,6782,350,390,5108,35708,9129,112193,,13507,2011,119855,240883
2016,Turkey,30289,593,620,18761,189940,18743,231396,7892,4783,8664,568175,1202616
2016,Ukraine,13333,197,62,13830,5392,1078,42888,24668,5970,2534,69801,135207
2017,Austria,29460,1085,2047,25362,223417,20333,87689,11491,34470,12153,291046,609393
2017,Belgium,8385,621,429,6978,44987,8396,39759,14628,15600,4099,76941,191254
2017,Bulgaria,8883,131,112,11221,41066,4099,23356,6228,1695,2110,123420,293494
2017,Croatia,15593,747,1356,13454,123972,10310,11218,1923,1369,1037,79984,166485
2017,Denmark,12426,956,467,10382,77578,8508,96267,8087,9804,552,46302,92784
2017,Estonia,3244,52,96,1972,11905,1659,6394,1279,1247,424,16208,34147
2017,Finland,3180,174,533,2203,18492,3400,43232,9330,5610,787,59104,129487
2017,France,86758,8632,5683,68293,286046,59232,633200,29055,44192,17840,641265,1282530
2017,Germany,37452,3890,3889,27635,225826,40011,855214,92402,89736,32198,963690,1925910
2017,Greece,27194,1272,982,24859,204408,16875,50378,7685,2156,9783,414127,806045
2017,Hungary,15785,944,1025,52954,38375,6233,37681,7539,2469,2184,73736,181240
2017,Iceland,2225,679,185,1085,19568,3020,2762,619,1554,404,14530,30741
2017,Italy,58253,6533,2170,79996,452661,44580,460086,31805,27901,32988,1086910,2239446
2017,Lithuania,2523,65,113,2282,8863,1325,7790,2032,1115,411,13965,28930
2017,Luxembourg,1046,48,66,928,5971,5735,668,2346,2892,229,7633,15726
2017,Netherlands,17924,2013,1608,14151,102588,16117,128788,20763,19985,3636,124049,270098
2017,Norway,6252,527,963,4728,26992,5601,65551,8170,16269,1067,88062,189327
2017,Poland,18258,784,446,82470,43181,12769,143963,12000,8849,4064,162512,335917
2017,Portugal,15432,2271,1075,11896,117612,17751,55476,2195,4601,5840,175056,402832
2017,Spain,81869,5866,2299,71696,649230,75906,395726,17031,22346,19459,919401,1911942
2017,Sweden,7054,486,430,5143,37334,10019,114765,20361,15063,2025,122948,245963
2017,Turkey,37601,574,813,23874,205045,22478,222109,8887,4823,11151,655355,1391568
2017,Ukraine,14230,241,83,13633,5785,1261,43114,26437,7121,2474,68045,132890
